yr-mn	yr	mn	id	total	pdo	fi	ped	bike	len_lane	tot_l	pdo_l	fi_l	ped_l	bike_l	time	level	trend	tsp	tsp_time	tsp_level	tsp_trend	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12
2010-1	2010	1	2	53	14	39	0	1	103.32	51	14	38	0	1	181	1	92	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2010-2	2010	2	2	63	24	39	1	0	103.32	61	23	38	1	0	182	1	93	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2010-3	2010	3	2	120	62	58	13	1	103.32	116	60	56	13	1	183	1	94	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2010-4	2010	4	2	93	67	26	0	1	103.32	90	65	25	0	1	184	1	95	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2010-5	2010	5	2	123	25	98	12	0	103.32	119	24	95	12	0	185	1	96	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2010-6	2010	6	2	99	37	62	0	0	103.32	96	36	60	0	0	186	1	97	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2010-7	2010	7	2	66	16	50	0	2	103.32	64	15	48	0	2	187	1	98	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2010-8	2010	8	2	76	26	50	0	3	103.32	74	25	48	0	3	188	1	99	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2010-9	2010	9	2	113	62	51	0	12	103.32	109	60	49	0	12	189	1	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2010-10	2010	10	2	113	76	37	0	3	103.32	109	74	36	0	3	190	1	101	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2010-11	2010	11	2	110	85	25	0	1	103.32	106	82	24	0	1	191	1	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2010-12	2010	12	2	77	62	15	0	0	103.32	75	60	15	0	0	192	1	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
